file_index,filename,dataset,composer,frame_index,note_density,avg_velocity,pitch_range,pitch_entropy,frame_file_path
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,0,1.0,100.0,29,3.9256803265285862,frames_nb/0_0.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,19542,1.9706666666666666,98.56224627875507,26,3.612278083374515,frames_nb/0_19542.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,694,1.0,100.0,22,3.6028705293078844,frames_nb/0_694.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,9232,1.0,100.0,31,4.090301570632868,frames_nb/0_9232.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,18743,1.6476666666666666,100.0,28,3.807887149924567,frames_nb/0_18743.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,9771,1.0,100.0,29,3.9234167839564793,frames_nb/0_9771.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,14525,1.0,100.0,23,3.936243456888518,frames_nb/0_14525.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,3308,1.0,100.0,22,3.5805423861912433,frames_nb/0_3308.npy
0,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2217_cs3-1pre.mid,PS1,Bach,4972,1.0,100.0,17,3.6254592299327237,frames_nb/0_4972.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,0,1.0906666666666667,99.5721271393643,26,3.8031850589987544,frames_nb/1_0.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,20142,1.15,100.0,26,3.6439886651256734,frames_nb/1_20142.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,15393,1.15,100.0,31,3.8823970374815713,frames_nb/1_15393.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,9579,1.05,100.0,29,3.913173309458672,frames_nb/1_9579.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,7700,1.1746666666666667,99.60272417707151,31,4.037144118674096,frames_nb/1_7700.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,19074,1.06,100.0,28,3.8698368887687575,frames_nb/1_19074.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,12346,1.06,100.0,26,3.907189228537051,frames_nb/1_12346.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,475,1.1746666666666667,99.60272417707151,30,4.005593825390276,frames_nb/1_475.npy
1,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2218_cs3-2all.mid,PS1,Bach,1113,1.1746666666666667,99.60272417707151,31,4.061192449596602,frames_nb/1_1113.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,0,0.98,100.0,28,3.9462519079509932,frames_nb/2_0.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,16569,1.097,100.0,28,3.9921959604717863,frames_nb/2_16569.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,3349,1.0,100.0,26,3.9514160885401406,frames_nb/2_3349.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,5616,1.0,100.0,28,3.957614771094379,frames_nb/2_5616.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,14971,1.0,100.0,28,4.070203893427112,frames_nb/2_14971.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,1031,1.0,100.0,28,3.943064365257665,frames_nb/2_1031.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,4373,1.0,100.0,28,3.919068425924033,frames_nb/2_4373.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,2594,1.0,100.0,28,3.9688512037431223,frames_nb/2_2594.npy
2,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2219_cs3-3cou.mid,PS1,Bach,1976,1.0,100.0,28,3.9242688692971956,frames_nb/2_1976.npy
3,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2220_cs3-4sar.mid,PS1,Bach,0,1.95,100.0,24,3.9141364775850747,frames_nb/3_0.npy
3,../data/Challenge_DataSet/PS1/Bach/Cello Suite 3_BWV1009_2220_cs3-4sar.mid,PS1,Bach,18600,1.55,100.0,28,3.833561581740346,frames_nb/3_18600.npy
